title,date,body,url,datetime
Heavy Rain cripples normal life in National Capital Region,26 Jul 2018,"
Heavy downpour in several parts of North India including  Delhi NCR disrupts normal life; Waterlogging at several places cripples traffic.
The monsoon fury is making its presence felt in the North of the country. Delhi and NCR too were impacted by heavy rains.
The downpour in the national capital region brought relief from the heat but also traffic woes.
In Vasundhara, more than 50 houses were evacuated after a road caved in.T he affected residents expressed concern over the state of their houses.
Ghaziabad and Greater Noida too braved the rain woes.
One person was electrocuted in Ghaziabad's Indirapuram area and a single storey building was downed in Greater Noida's Mubarakpur even though no one was injured in the incident.
Noida experienced traffic snarls after heavy rain in the morning. The situation normalised in the afternoon with rain water draining out.
Delhi Metro services were impacted too with movement of trains becoming sluggish.
Heavy rain disrupted normal life in Faridabad, Gurugram and some other parts of Haryana.
1 lakh 80,000 cusecs of water was released from the Hathini Kund Barrage in Yamunanagar in the state.
It is feared that the released water may lead to waterlogging in low-lying areas of Delhi.
Meanwhile, the Met dept has alerted 12 states about the possibility of heavy rain. The 12 states include Madhya Pradesh, Rajasthan, Delhi, Haryana, Chandigarh, Punjab, Uttar Pradesh, Himachal Pradesh and Jammu and Kashmir.
Heavy rain inconvenienced people in several towns and cities of UP as well.
The downpour triggered the collapse of a 3 storeyed building in Agra.
In Muzaffarnagar, 3 persons died in rain-related incidents but the rain brought respite to farmers of the parched Bundelkhand region.
A flood-like situation was created in several parts of Himachal Pradesh.
A bridge over Baadh Ganga in Kullu was washed away by heavy rain and normal life was impacted in Mandi.",https://reliefweb.int/node/2716534,2018-07-26
Flood threat looms large over these 10 Indian states,21 Jun 2018,"
HIGHLIGHTS

At least five of these flood-affected states have been placed on high risk on two other hazards—cyclone and heat wave
West Bengal has the highest risk of Cyclone, followed by Odisha, Andhra, Gujarat and Kerala
At least 100 cyclone prone districts have been studied for the purpose

NEW DELHI: Monsoon has just set in and more than 30 people have already died in floods in North East, 20 of them in Assam alone with over half a million marooned. But an assessment by the Union home ministry, which has worked out a Flood Vulnerability Index in its ongoing study on disaster risk reduction, has listed Punjab as the most vulnerable state and Gujarat facing as much risk as Assam.
Among the top 10 most vulnerable states, Punjab is followed by West Bengal, Bihar, UP, Andhra Pradesh, Haryana, Kerala, Assam, Gujarat and Odisha, in that order. These findings are based on data collected by the Centre on actual areas flooded since 1950.
However, the study points out that if the flood data taken for a period during 1980 and 2016, Assam and Bihar would probably rank higher than Punjab and West Bengal. In fact, last year, Bihar disaster management authorities had reported more than 500 deaths due to floods. The construction of dams in Indo-gangetic rivers have somewhat mitigated the hazards in recent decades, the study points out.
At least five of these flood-affected states have been placed on high risk on two other hazards—cyclone and heat wave. West Bengal has the highest risk of Cyclone, followed by Odisha, Andhra, Gujarat and Kerala. At least 100 cyclone prone districts have been studied for the purpose.
Odisha, UP, Andhra, West Bengal, Bihar and Punjab are also among the top 10 states facing the highest risk of heat wave deaths in the country.
A working paper prepared by the National Disaster Management Authority (NDMA) recently found India vulnerable to more than 30 different types of disasters. In 2015 and 2016, more than 1,100 people reported killed in disasters and over 350 million affected across the country. The damages to properties in these two years alone have been estimated at over $4.4 billion.
A report from the UN Office for Disaster Risk Reduction (UNISDR) had earlier said that between 2005 and 2014, at least 167 disasters struck India causing damages of more than $47 billion in properties, ranking the nation among the top four countries in the world with highest number of reported disasters.
The Flood Vulnerability Index has been prepared based on parameters such as areas actually flooded during 1950 to 2016, areas vulnerable to flood and metropolitan and large cities that fall in flood prone areas. On a scale of 10, Punjab has been assessed as facing the highest flood hazard risk of 6.67, followed by West Bengal 6.43, Bihar 6, UP 4.76, Andhra Pradesh 4.49, Haryana 4.12, Kerala 3.88, Assam 3.84, Gujarat 3.38 and Odisha 2.73.
Though Punjab, Haryana, UP and West Bengal had maximum floods in earlier decades, the current trend indicates flood incidents have increased in magnitude in Assam and Bihar in recent years.
The NDMA is currently working on a National Disaster Database that will capture nationwide losses of properties and lives occurring due to disasters and will ensure that states compulsorily report and feed all losses real time into the dynamic platform. This may also help the Centre in deciding the quantum of future investments in critical infrastructure depending on the performance of states in disaster risk reduction.",https://reliefweb.int/node/2664929,2018-06-21
Weather woes continue in various parts of country,15 Jun 2018,"
Weather woes continue to impact life in various parts of the country. While heavy rains have wreaked  havoc in some areas, a blanket of dust continues to prevail over the national capital region, further worsening the air quality.
In Kerala, at least 16 people have been killed in rain related incidents in the past one week. Heavy rains also led to a landslide in Kozhikode killing at least 8 people. NDRF teams were deployed for rescue operations and for locating those missing. Rains have led to floods and landslides in several parts of the state, Northern Kerala in particular.
In the north east, floods caused by heavy rains have thrown life out of gear in several parts. Assam, Manipur, Mizoram and Tripura are worst affected.
In Assam, thousands of people have been affected due to heavy rains in the past 48 hours, Rains have also disrupted train services due to landslides. NDRF and SDRF teams have been deployed.
In Tripura, the flood situation deteriorated with the rain-fed Khowai river inundating fresh areas rendering thousands homeless and damaging roads and crops. Administration has shifted those affected to elief camps. Tripura Chief Minister Biplab Deb undertook an aerial survey of the flood hit areas. Additional NDRF teams have been posted in the state to expedite rescue operations.
In Manipur, with the rain easing off, flood situation has slightly improved in capital Imphal, however, it continues to be grim in the outskirts of the city. In Thoubal and Imphal West districts, flood situation is still worrying.
With thousands of houses damaged, several thousand people have been moved out of the area and provided shelter at relief camps. Given the seriousness of the situation, state government had declared school holidays on 14 and 15 June.
In Uttarakhand, several parts of the state also received rainfall. An alert was issued in the state for 14th and 15th June.
The Delhi NCR region continues to remain enveloped in a blanket of dust. Met department has said that dust storms emerging from Rajasthan were the reason being the dust cover in Delhi NCR and adjoining areas. Delhi's air quality remained severe for the fourth consecutive day on Friday, even as authorities expressed hope that the condition would improve with strong winds expected to clear the stagnant air.
Government and the met department have said that Delhi, Punjab, Haryana and Uttar Pradesh are expected to receive rains in the next 24 hours and they would improve the situation.
As the national capital region struggled with severe dust pollution, Lieutenant Governor Anil Baijal had on Thursday ordered stoppage of all civil construction activities across the city till Sunday. The move came as part of emergency measures which also include intensifying mechanical road sweeping.",https://reliefweb.int/node/2656989,2018-06-15
10 killed in lightning strike incidents in WB; heat wave conditions prevail in north India,12 Jun 2018,"
At least 10 people were killed and several others were injured in incidents of lightning strike in West Bengal with heavy monsoon rain triggering floods in Mizoram, even as heat wave conditions prevailed in north India.
The Meteorological (MeT) department has forecast light to moderate rain in some parts of northern India.
In West Bengal, four people were killed in lightning strikes in Bankura district, three in Hooghly district, while one death each was reported from West Midnapore, Birbhum and North 24 Parganas districts, officials said.
Heavy monsoon rain triggered flood in Lunglei and Aizawl district of Mizoram. Over 1,000 people were evacuated to safer places in the two districts due to the flood. State school education department declared holidays for Tuesday and Wednesday for all schools due to heavy downpour, officials said.
Scattered rains occurred at isolated places in the mid and higher hills of Himachal Pradesh. The MeT has forecast rains or thundershowers at isolated places in the mid hills over the next six days, rain or thundershowers in the lower hills and rain or snow in the higher hills from June 15.
Heat wave conditions continued unabated in most parts of Punjab and Haryana, with Amritsar and Patiala sizzling at 42.8 degrees Celsius, making these as the hottest places in the region. The MeT has forecast light to moderate rain at isolated places in the region after two days.
In the national capital, hot and humid conditions continued to prevail with the mercury settling at 41.7 degrees Celsius, even as the weatherman forecast dusty winds towards the night.
Heat wave conditions have abated in parts of Rajasthan where pre-monsoon showers brought down day temperatures by a few degrees. The highest temperature was recorded at 43.8 degrees Celsius in Jaisalmer followed by Sriganganagar, which registered a maximum of 43 degrees Celsius.
The weather is likely to remain dry in Uttar Pradesh, with Kanpur registering as the hottest place in the state at 44.8 degrees Celsius. The MeT forecast rains or thunderstorm are very likely at isolated places over the eastern parts of UP on June 14.
In Jammu, the weatherman has forecast dry weather for the next three days, indicating rise in the temperatures across the region. The city recorded a high of 39.6 degrees Celsius.
Squally winds are very likely along and off Goa, Karnataka, Kerala, Tamil Nadu, Andhra Pradesh, Odisha and West Bengal coasts. Sea condition is likely to remain rough to very rough over these areas. Fishermen are advised not to venture into these areas, the Indian Meteorological Department (IMD) said.",https://reliefweb.int/node/2650389,2018-06-12
"India: After floods, comes drought: 235 districts face monsoon deficit of 20% or more",14 Sep 2017,"
Amit Bhattacharya | TNN | Updated: Sep 14, 2017, 08:30 IST
HIGHLIGHTS

The monsoon deficit in west UP stands at 37%, highest for any subdivision in the country.
IMD believes the 2nd half of Sept could bring better rains in central India.
Situation in northwest may not change much, there are indications that central India may get some rain in the next couple of weeks.

NEW DELHI: Around 235 districts across the country face the prospect of drought this year as the monsoon appears headed for a below-normal performance, with the season's deficit currently at 6.2% of normal.
These districts, accounting for 37% of India's 630 districts for which rain data is available, have monsoon shortfall of at least 20%, with nine show acute deficits of 60% or more, data from the India Meteorological Department reveals.
A majority of the distress districts lie in the hinterland, in a swathe running through Punjab, Haryana, Uttar Pradesh, Madhya Pradesh and Vidarbha. UP, Haryana and MP are the hardest hit states, showing rain deficits of 31%, 28% and 25%, respectively.
The deficits have grown gradually since the end of July, when the monsoon started failing in central and north India. The first two months of the season, June and July, ended with a countrywide rain surplus of 2.5%. Monsoon's performance since August 1 has been a dismal 17% below normal (till September 12), with good rainfall being mainly restricted to south and northeast India. ""A number of factors worked against the monsoon since July-end. There have hardly been low-pressure circulations since then and conditions in the Indian and Pacific oceans have been unfavourable,"" said D Sivananda Pai, head of IMD's long range monsoon forecasts.
IMD had forecast normal monsoon this year at 96% of the long period average, which it updated to 98% in June.
Poor distribution of rainfall has added to the distress. As many as 110 districts have had excess or 'large excess' (over 60% of normal) rainfall. In addition, heavy rain spells in Gujarat, Rajasthan and catchment areas in the Himalayas (particularly in Nepal) caused the worst floods in the country in 10 years.
Ironically, states such as UP have seen both flood fury as well as the prospect of drought. The monsoon deficit in west UP stands at 37%, highest for any subdivision in the country. Of the state's 72 districts, rainfall has been deficient in 48. Out of these, five districts — Agra, Hamirpur, Mahamayanagar, Amethi and Kushinagar — face acute shortfall of 60% or more.
This combination of poor rains and floods is likely to hit kharif output, although data till September 8 reveals that the sowing area this year is only marginally less than last year's, with the biggest drops seen in oilseeds, pulses and jute. Several state governments have reportedly started drought exercises.
Poor rains have also affected water storage levels, important for winter crops. According to the Central Water Commission data, live storage at 91 important reservoirs in the country was at 58% of capacity on September 8, the lowest in five years for which data was available. It was lower than the corresponding period during the drought years of 2014 (74%) and 2015 (59%), and significantly below the 10-year average of 69%.
IMD believes the second half of September could bring better rains in central India. ""While the situation in northwest is not likely to change too much, there are indications that central India may get some rain in the next couple of weeks. Monsoon isn't likely to start withdrawing in the next few days,"" Pai said.",https://reliefweb.int/node/2218514,2017-09-14
"India: Flood/heavy rainfall situation report as on 31st August, 2017 up to 1730 Hrs",31 Aug 2017,"
1 . Highlights of Situation report given by SEOCs
As per situation report received from SEOCs, during last 24 hours due to heavy rainfall the following damages have been reported:
i.  Assam: District affected 05, Human lives lost-Nil
ii.  West Bengal: District affected 01, Human lives lost 01.
iii.  Uttar Pradesh: District affected 13, Human lives lost 04.
iv.  Bihar:  District affected 19, Human lives lost-Nil.
v.  Maharashtra: District affected Nil, Human lives lost-Nil.
2 . Forecasting:
a)  CWC
According to the Central Water Commission (CWC) report dated 31/08/2017 received at 1320 hrs, there is no unprecedented and high flood site in the country, 14 Moderate flood sites have been reported i.e. 08 in Bihar, 02 each in Uttar Pradesh and Assam, 01 each in Jharkhand  and  West Bengal.
b)     IMD
On 01 September’2017  Heavy to very heavy rain very likely at isolated places over Uttarakhand, Haryana, Chandigarh & Delhi, West Uttar Pradesh, Sub-Himalayan West Bengal & Sikkim , Arunachal Pradesh and Assam &Meghalaya; heavy at isolated places over Himachal Pradesh, Punjab, East Uttar Pradesh, Bihar, Gangetic West Bengal, Nagaland, Manipur, Mizoram & Tripura and Tamilnadu & Puducherry.
The flood situation report of Assam, West Bengal, Uttar Pradesh, Bihar and Maharashtra is attached as Appendix-I and cumulative loss data as on 31th August’2017 is attached as Appendix-II",https://reliefweb.int/node/2223984,2017-08-31
"India: Flood/heavy rainfall situation report as on 30th August, 2017 up to 1730 Hrs",30 Aug 2017,"
1 . Highlights of Situation report given by SEOCs
As per situation report received from SEOCs, during last 24 hours due to heavy rainfall the following damages have been reported:
i.  Assam: District affected 05, Human lives lost-Nil
ii.  West Bengal: District affected 04, Human lives lost 05.
iii.  Uttar Pradesh: District affected 10, Human lives lost 01.
iv.  Bihar:  District affected 19, Human lives lost-Nil.
v.  Maharashtra: District affected 04, Human lives lost-07.
2 . Forecasting:
a)  CWC
According to the Central Water Commission (CWC) report dated 30/08/2017 received at 1415 hrs, there is no unprecedented and high flood site in the country, 16 Moderate flood sites have been reported i.e.09 in Bihar, 03 Uttar Pradesh, 02 Assam, 01 each in Jharkhand  and  West Bengal.
b)     IMD
On 31 August’2017  Heavy to very heavy rain very likely at isolated places over Saurashtara & Kutch and Sub-Himalayan West Bengal & Sikkim; heavy at isolated places over Uttarakhand, Himachal Pradesh, Haryana,Chandigarh & Delhi, Uttar Pradesh, Punjab, Bihar, Assam & Meghalaya, Nagaland, Manipur,Mizoram & Tripura, Konkan & Goa, Gujarat region and Coastal Karnataka.
The flood situation report of Assam, West Bengal, Uttar Pradesh, Bihar and Maharashtra is attached as Appendix-I and cumulative loss data as on 30th August’2017 is attached as Appendix-II",https://reliefweb.int/node/2223979,2017-08-30
India: Monsoon-2017: Daily monsoon / Flood situation report of 15 August 2017,15 Aug 2017,"
SITREP NO. 75/2017

CENTRAL WATER COMMISSION (DAILY WATER LEVELS AND FORECASTS FOR LEVEL FORECAST SITES)

According to the Central Water Commission (CWC) report dated 15/08/2017, 02 Unprecedented flood in Bihar and Uttar Pradesh, 06 High flood sites (Assam-02, UP-02, Bihar-02) and 21 Moderate flood sites (Bihar-05, Assam-10, Jharkhand-01, Uttar Pradesh-04 & West Bengal-01) have been reported.

IMD WARNING DURING NEXT 03 DAYS:

15 August (Day 1):♦ Heavy to very heavy rain very likely at isolated places over Andaman & Nicobar Islands; heavy at isolated places over East Uttar Pradesh, Bihar, West Bengal & Sikkim, Assam & Meghalaya, Nagaland, Manipur, Mizoram & Tripura, Coastal Andhra Pradesh, Rayalaseema, South Interior Karnataka and Tamilnadu & Puducherry.
♦ Thunderstorm accompanied with gusty winds very likely at isolated places over Uttarakhand, Odisha, Coastal Andhra Pradesh, Rayalaseema and Tamilnadu & Puducherry.
16 August (Day 2):♦ Heavy to very heavy rain very likely at isolated places over Andaman & Nicobar Islands; heavy at isolated places over Jharkhand, Gangetic West Bengal, Assam & Meghalaya, Coastal Andhra Pradesh, Coastal Karnataka, and South Interior Karnataka.
17 August (Day 3): Heavy rain very likely at isolated places over Vidarbha, Chhattisgarh, Jharkhand, Odisha, Assam & Meghalaya, Telangana, Coastal Karnataka, South Interior Karnataka and Andaman & Nicobar Islands.

NDRF OPERATIONAL DEPLOYMENT (76 Teams- 2652 personnel)

Total 76 teams (Assam-18, Punjab-01, U.P.-12, Arunachal Pradesh-01, Gujarat-05, Delhi-02, Bihar-22, WB-08, Uttarakhand-03, Himachal Pradesh-01, Madhya Pradesh-02 & Jharkhand-01) consisting of 2652 personnel with 243 boats are deployed.

LOGISTIC SUPPORT PROVIDED BY THE MINISTRY OF DEFENCE ON 15/08/2017.

Rajasthan- 1 Team of Army/Air force deployed in Jalore.
Bihar- 08 Team of Army with 80 Boats, 02 Choppers.",https://reliefweb.int/node/2178309,2017-08-15
India: Monsoon-2017: Daily monsoon / Flood situation report of 07 August 2017,07 Aug 2017,"
SITREP NO. 67/2017
07/08/2017 (1600 Hours)

CENTRAL WATER COMMISSION (DAILY WATER LEVELS AND FORECASTS FOR LEVEL FORECAST SITES)

According to the Central Water Commission (CWC) report dated 07/08/2017, there is no unprecedented flood site in the country. However, 01 High flood site in Uttar Pradesh & 09 Moderate flood sites has been reported in Bihar-05, Assam-01 & Uttar Pradesh-03 respectively.

IMD WARNING DURING NEXT 03 DAYS:

07 August (Day 1):♦ Heavy to very heavy rainfall very likely at isolated places over Himachal Pradesh, Uttarkhand, Arunachal Pradesh and Assam & Meghalaya; heavy at isolated places over Jammu & Kashmir, Punjab, Haryana, Chandigarh & Delhi, Uttar Pradesh, Madhya Pradesh, Chhattisgarh, Odisha and Andaman & Nicobar Islands.
08 August (Day 2):♦ Heavy to very heavy rainfall very likely at isolated places over Sub-Himalayan West Bengal & Sikkim, Arunachal Pradesh and Assam & Meghalaya; heavy at isolated places over Jammu & Kashmir, Himachal Pradesh, Uttarakhand, Punjab, Haryana, Chandigarh & Delhi, Uttar Pradesh, East Rajasthan, Chhattisgarh and Bihar.
09 August (Day 3):♦ Heavy to very heavy rainfall very likely at a few places over Arunachal Pradesh and Assam & Meghalaya and at isolated places over Nagaland , Manipur, Mizoram & Tripura; heavy at isolated places over Jammu & Kashmir, Himachal Pradesh, Uttarakhand, Punjab, Haryana, Chandigarh & Delhi, Uttar Pradesh, East Rajasthan, Chhattishgarh, Bihar, Coastal Andhra Pradesh and Telangana.

NDRF OPERATIONAL DEPLOYMENT (54 Teams- 1960 personnel)

Total 54 teams (Assam-09, Punjab-01, U.P.-08, Arunachal Pradesh-01, J & K-04, Gujarat-10, Rajasthan-02, Delhi-01, Bihar-05, WB-04, Uttarakhand-03, Jharkhand-03, Himachal Pradesh-01 & Madhya Pradesh-02) consisting of 1960 personnel with 162 boats are deployed.
Achievement during flood -2017 season are as under:
Assam :      So far NDRF teams rescued 82 persons ,evacuated 532 persons, retrieved 5 dead bodies and provide medical  assistance to 30 persons.
Rajasthan: During last 24 hour NDRF on 06.08.2017 team conducted rescue ops at Distt- Jalore Rajasthan and evacuated 28 personand distributed 900 food packet. So far teams have rescued 122 persons, evacuated 847 persons, 13 live stocks and retrieved 03 dead bodies and also distributed Food-  7810Pkts and Medicines.
Gujarat:  So far teams have rescued 1355 persons, evacuated 7286 persons, 27 livestock and retrieved 11 dead bodies and distributed food- 71193 pkts, Water pouches/ bottles-  81150 Nos, Dry Ration ( Rice, Dal, Suger, Churaetc -1750 Bags,Biscuits / Namkin- 2225 Pkts,  Cloth- 1750 Nos and Blanket- 75 Nos.
WB:  During last 24 hour NDRF on 06.08.2017 team conducted rescue and relief operation at Ghatal, West Medenipur, WB and evacuated 03 persons and distributed relief material water pouches- 2200Nos, Dry Ration- 16  bags, Milk powder 6 Kgs, and Gur60Kgs. So far teams have rescued 253 persons, evacuated 1029 persons and retrieved 05 dead bodies and distributed food 1500 Pkts, Water pouches/ bottles-  25564 Nos, Dry Ration ( Rice, Dal, Suger, Churaetc – 236 Bags, Baby food - 244 Ctns, Milk- 1056 Pkts, Gur -2205  Kgs, Tarpoline-  58 Nos,  Vegetable- 540 Kgs and Medicines.
Uttarakhand:On  05.08.2017Team  assisted 255 Pilgrims(Total -360) of Kailash Mansarover Yatra and local villagers in crossing over the Blocked area at Paldhar, distt- Pithoragrah.
Uttar Pradesh: On 06.08.2017 teams evacuated 395 flood affected persons and distributed 800 food Pkt.  So far teams have  evacuated 603 persons and distributed 800 food  packets .",https://reliefweb.int/node/2159444,2017-08-07
India: Monsoon-2017: Daily monsoon / Flood situation report of 03 August 2017,03 Aug 2017,"

CENTRAL WATER COMMISSION (DAILY WATER LEVELS AND FORECASTS FOR LEVEL FORECAST SITES)

According to the Central Water Commission (CWC) report dated 03/08/2017, there is no unprecedented flood site in the country. However, 01 High flood (Uttar Pradesh-01) & 05 Moderate flood sites have been reported in Uttar Pradesh-01, Assam-02 and Bihar-02 respectively.

IMD WARNING DURING NEXT 03 DAYS:-

[ 03 August (Day 1):
♦ Heavy to very heavy rainfall very likely at isolated places over Bihar;
Heavy rainfall very likely at isolated places over Uttarakhand, East Uttar Pradesh, Sub-Himalayan West Bengal & Sikkim, Odisha, Arunachal Pradesh, Assam & Meghalaya and Nagaland, Manipur,
Mizoram & Tripura.
♦ Thunderstorm accompanied with gusty wind & lightning very likely at isolated places over Assam & Meghalaya and Nagaland, Manipur, Mizoram & Tripura.
04 August (Day 2):
♦ Heavy rainfall very likely at isolated places over Uttarakhand, Uttar Pradesh,
Bihar, Assam & Meghalaya, Nagaland, Manipur, Mizoram & Tripura and Coastal Karnataka.
05 August (Day 3):
♦ Heavy to very heavy rainfall very likely at isolated places over Coastal Karnataka; Heavy rainfall very likely at isolated places over Uttrakhand, Uttar Pradesh, Jharkhand,
Gangetic West Bengal, Assam & Meghalaya, Nagaland, Manipur, Mizoram & Tripura, Tamilnadu & Pudducherry, Kerala and Lakshadweep.

NDRF OPERATIONAL DEPLOYMENT ( 63 Teams- 2230 personnel)

Total 63 teams (Assam-09, Punjab-01, U.P.-06, Arunachal Pradesh-01, J & K-04, Gujarat-18,
Rajasthan-04, Delhi-01, Bihar-05, WB-05, Uttarakhand-03, Jharkhand-03, Himachal Pradesh-01 & Madhya Pradesh-02) consisting of 2230 personnel with 179 boats are deployed.",https://reliefweb.int/node/2156299,2017-08-03
India: Monsoon-2017: Daily monsoon / Flood situation report of 30 July 2017,30 Jul 2017,"

CENTRAL WATER COMMISSION (DAILY WATER LEVELS  AND  FORECASTS FOR  LEVEL FORECAST SITES)

According to the Central Water Commission (CWC) report dated 30/07/2017, there is no unprecedented/High flood site in the country. However, 04 Moderate flood sites have been reported in Uttar Pradesh-02, Assam-01, and  Bihar-01 respectively.

IMD WARNING DURING NEXT 03 DAYS:-

30   JULY (Day 1):♦ Heavy rainfall very likely at isolated places over Jammu & Kashmir,
Himachal Pradesh, Uttarakhand, Punjab, Haryana & Chandigarh, Sub-Himalayan
West Bengal & Sikkim and Jharkhand.
31 JULY (Day 2):♦ Heavy to very Heavy rainfall very likely at isolated places over northern parts of Punjab and Haryana & Chandigarh; heavy rain very likely at isolated places over Jammu & Kashmir, Himachal Pradesh, Uttarakhand, Uttar Pradesh, Sub-Himalayan
West Bengal & Sikkim, Assam & Meghalaya and Nagaland, Manipur, Mizoram & Tripura.
01 August (Day 3):♦ Heavy to very heavy rainfall very likely at isolated places over Sub-Himalayan West Bengal & Sikkim; heavy rain very likely at isolated places over Jammu &
Kashmir, Himachal Pradesh, Uttarakhand, Punjab, Haryana & Chandigarh, West Uttar Pradesh, Assam & Meghalaya and Nagaland, Manipur, Mizoram & Tripura.  [",https://reliefweb.int/node/2224084,2017-07-30
"Statement on ‘Situation arising out of recent floods in various parts of the country, particularly in Assam’",27 Jul 2017,"
Following is the text of statement made in Rajya Sabha today by Minister of State for Home Affairs, Shri Kiren Rijiju on ‘Situation arising out of recent floods in various parts of the country, particularly in Assam’:
“India receives heavy rainfall from June to September every year during the South West (SW) Monsoon Season. The rainfall during this period accounts for about 70-90 % of the total annual rainfall over India. As a consequence of this rainfall, flooding of rivers is a natural weather phenomenon. This year monsoon set in over Kerala on 30th May, the monsoon has already covered entire country by 19th July 2017. In terms of area wise distribution, 89% of the area in the country received excess/ normal rainfall and 11% of the area received deficient rainfall till date.
Over 40 Million hectares’ land of the country is prone to floods and river erosion. The flood prone regions of India are the Himalayan Rivers Basin (Kosi and Damodar Rivers in particular), the North Western River Basin (Jhelum, Ravi, Sutlej and Beas Rivers) and the central and Peninsular River Basin (Narmada, Chambal, Godavari, Krishna and Cauvery River).
During the current South West monsoon season, various parts of the States of Assam, Arunachal Pradesh, Bihar, Chhattisgarh, Gujarat, Himachal Pradesh, Karnataka, Kerala, Maharashtra, Manipur, Mizoram, Nagaland, Odisha, Punjab, Rajasthan, Sikkim, Tripura, Uttar Pradesh, Uttarakhand and West Bengal reported to have been affected by heavy rains / flash floods / and rain oriented calamities of varying degrees. As per the information of damage received from these States 508 persons have lost their lives, 24,811 cattle heads have perished, 63,215 houses/ huts have been damaged and about 2.8 lakh hectares of crop area have been reported affected due to heavy rains/ flood/ landslides etc..
Primary responsibility to deal with natural calamities rest with the State Government concerned. The Central Government supplements the efforts of the State Governments by providing financial and logistics support to effectively deal with such exigent situations. The concerned State Governments have been taking necessary relief, preparedness/ preventive measures, which inter-alia includes distribution of relief, evacuation and shifting of the people to safer places, setting up of multipurpose relief shelters/ camps, providing Governments have also taken necessary health and hygiene measures to prevent outbreak of any epidemic during floods/ post flood calamity period. State authorities are monitoring rainfall, water level of the rivers/ dams in coordination with the IMD and CWC as well as issuing weather advisories to all vulnerable districts.
With regard to Assam, there are 2 major rivers system (viz; Brahmaputra valley and Barak valley) in the State which causes floods. The State faces acute flood problem in the flood plains of the river Brahmaputra and Barak and other smaller river sub-basins. Assam has faced two waves of floods till 19th July 2017 affecting 29 districts out of 33 districts, resulting in loss of human lives, livestock and large scale damage to the dwelling houses. The State Government is providing necessary relief assistance affected people in the State. As per information received from the State Government of Assam, about 59430.45 quintal rice, 11142.18 quintal dal, 3541.71 quintal salt, 37249.89 liters M. Oil and 58092 numbers of tarpaulins etc. have been provided to the affected people in different districts of Assam. The State Government has mentioned that 1160 relief camps (357 relief camps + 803 relief distribution center) have been opened and 1,31,416 inmates are housed in these camps, so far. However, at present the situation is under control in the State. The State Government is closely monitoring rescue & relief operations in the districts to deal with any eventuality. The Ministry of Home Affairs is also keeping constant round the clock watch on the situation in the country including Assam.
In order to assess the loss of immediate nature, upon receipt interim memorandum an Inter-Ministerial Central Team (IMCT) was constituted on 21st July 2017. The Inter-Ministerial Central Team, in consultation with the State Government, are visiting the affected areas of the State, from 25-28th July 2017 for on the spot assessment of damages of immediate and temporary nature. Further, action would be taken in the matter, in accordance with the established procedure.
To ensure effective preparedness, MHA conducted annual meeting of Relief Commissioners/ Secretaries, Department of Disaster Management of State / UTs on 17 May 2017 to review the status of preparedness and to discuss other disaster management related issues. The representatives of various Central Ministries/ Organizations rendering Emergency Support Functions also participated in the meeting. During the conference the emphasis was laid on close coordination with forecasting agencies such as Central Water Commission (CWC), India Metrological Department (IMD), GSI and INCOIS.
As stated earlier, the State Governments concerned are primarily responsible for undertaking necessary rescue, relief and preventive measures in the wake of natural calamities. Apart from providing logistics support, the Government of India supplements the efforts of the State Governments by extending financial assistance through State Disaster Response Fund (SDRF) and National Disaster Response Fund (NDRF) as per the laid down procedure. An amount of Rs. 9382.80 crore has been allocated as central share to all the States in their SDRF accounts for the year 2017-18. An amount of Rs. 3387.15 crore has so far been released, as the installment of Central share of SDRF for the year 2017-18 to 21 States. In addition, financial assistance from NDRF amounting to Rs. 1555.84 crore has been provided during 2017-18, so far, to different States which were affected by calamities of severe nature. In addition to regular schemes of crops damage, the farmers are also entitled for compensation under the Pradhan Mantri Fasal Bima Yojna of the Ministry of Agriculture, which is being implemented by the State Government.
MHA have deployed about 88 specialized teams of NDRF in 26 States and UTs with 304 boats another necessary search and rescue equipment. Based on vulnerability profile of different regions of the country, NDRF teams have been presently stationed/ deployed at 12 Bn HQ viz; Guwahati (Assam), Haringhata (West Bengal), Mundali (Odisha), Arakkonam (Tamil Nadu), Pune (Maharashtra), Vadodra (Gujarat), Bhatinda (Punjab), Ghaziabad (Uttar Pradesh), Bihta (Bihar), Vijayawada (Andhra Pradesh), Varanasi (Uttar Pradesh) and Doimukh (Arunachal Pradesh). Besides, pre-positioning of the NDRF teams has already been done at 31 different locations in the country depending on the vulnerability profile of the area. In addition, NDRF teams also assist to the State administration in distribution of essential relief material and provide medical support to affected people at the time of emergency. NDRF also conducts mock drills along with the relevant departments and State agencies in the country for effective management of floods, response and rescue operations.
Hon’ble PM has reviewed the flood preparedness of the nation via PRAGATI on 12th July 2017. Hon’ble MOS (PMO & DONER) has reviewed the flood situation of North-Eastern States including Assam on 13th July 2017. Hon’ble MOS (Home) has visited and reviewed the flood situation of Assam and Arunachal Pradesh from 13th to 15th July 2017. I would like to assure the Hon’ble Members that the Government of India will give due importance to the valuable suggestions given by them during the discussion to deal effectively with the situation caused by floods and other natural calamities.”",https://reliefweb.int/node/2143594,2017-07-27
